City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-07-16 19:18:17,-46.6,168.3333,44.8,78,100,15.19
1,Kokstad,ZA,2022-07-16 19:20:20,-30.5472,29.4241,50.5,46,0,4.21
2,Luderitz,,2022-07-16 19:20:20,-26.6481,15.1594,68.04,38,0,2.01
3,Tsibanobalka,RU,2022-07-16 19:20:21,44.9803,37.3438,71.56,83,0,2.24
4,Avera,US,2022-07-16 19:20:08,33.194,-82.5271,90.55,46,38,3.6
5,Narsaq,GL,2022-07-16 19:20:21,60.9167,-46.05,52.02,79,100,5.08
6,Toropets,RU,2022-07-16 19:20:22,56.4978,31.6353,53.42,79,100,3.67
7,Dunmore Town,BS,2022-07-16 19:20:22,25.5,-76.65,82.83,78,99,15.26
8,Ancud,CL,2022-07-16 19:20:22,-41.8697,-73.8203,42.22,83,100,19.82
9,Port Alfred,ZA,2022-07-16 19:18:14,-33.5906,26.891,67.3,53,0,8.3
10,Kapaa,US,2022-07-16 19:20:23,22.0752,-159.319,80.58,82,100,14.97
11,Maryborough,AU,2022-07-16 19:18:07,-25.5333,152.7,57.45,69,99,2.64
12,Nome,US,2022-07-16 19:20:23,64.5011,-165.4064,58.15,62,0,8.05
13,Barrow,US,2022-07-16 19:20:24,71.2906,-156.7887,37.42,87,100,9.22
14,Hilo,US,2022-07-16 19:20:24,19.7297,-155.09,83.28,94,100,5.75
15,Penzance,GB,2022-07-16 19:20:24,50.1186,-5.5371,68.68,67,100,11.65
16,Atuona,PF,2022-07-16 19:20:25,-9.8,-139.0333,77.38,74,74,16.04
17,Vaini,TO,2022-07-16 19:20:25,-21.2,-175.2,73.56,94,40,3.44
18,Cherskiy,RU,2022-07-16 19:20:26,68.75,161.3,43.41,70,10,7.65
19,San Quintin,MX,2022-07-16 19:20:26,30.4833,-115.95,73.94,68,1,11.74
20,Ponta Do Sol,PT,2022-07-16 19:20:27,32.6667,-17.1,75.0,79,35,8.19
21,Punta Arenas,CL,2022-07-16 19:15:47,-53.15,-70.9167,35.71,80,40,8.05
22,Rikitea,PF,2022-07-16 19:17:46,-23.1203,-134.9692,73.33,75,100,17.07
23,Sibolga,ID,2022-07-16 19:20:27,1.7427,98.7792,76.21,80,90,3.87
24,East London,ZA,2022-07-16 19:15:43,-33.0153,27.9116,66.16,51,0,8.99
25,Khatanga,RU,2022-07-16 19:19:20,71.9667,102.5,54.61,67,13,5.66
26,Yar-Sale,RU,2022-07-16 19:20:28,66.8333,70.8333,53.89,64,1,7.94
27,Puerto Asis,CO,2022-07-16 19:20:28,0.5133,-76.5007,85.98,61,93,0.38
28,Beloha,MG,2022-07-16 19:20:29,-25.1667,45.05,65.73,81,5,16.13
29,Geraldton,AU,2022-07-16 19:20:29,-28.7667,114.6,55.81,88,100,5.75
30,Carnarvon,AU,2022-07-16 19:20:29,-24.8667,113.6333,68.0,50,100,8.7
31,Porto Novo,BJ,2022-07-16 19:20:30,6.4965,2.6036,75.79,86,73,9.13
32,Ribeira Grande,PT,2022-07-16 19:20:30,38.5167,-28.7,75.6,78,20,11.5
33,Lokosovo,RU,2022-07-16 19:20:31,61.1333,74.8167,53.73,78,5,6.24
34,Tiksi,RU,2022-07-16 19:20:31,71.6872,128.8694,38.57,95,51,11.63
35,Sompeta,IN,2022-07-16 19:20:31,18.9333,84.6,80.1,89,100,8.72
36,Karatau,KZ,2022-07-16 19:20:32,43.1667,70.4667,77.32,20,0,3.2
37,Tiarei,PF,2022-07-16 19:20:32,-17.5333,-149.3333,77.02,57,53,22.62
38,Albany,US,2022-07-16 19:20:19,42.6001,-73.9662,86.23,48,100,4.0
39,Cap-Aux-Meules,CA,2022-07-16 19:20:33,47.3821,-61.8597,71.65,60,75,11.5
40,Lubango,AO,2022-07-16 19:20:33,-14.9172,13.4925,57.24,36,0,3.24
41,Asau,RO,2022-07-16 19:20:33,46.4333,26.4,72.52,49,0,6.55
42,Almaznyy,RU,2022-07-16 19:20:34,48.0448,40.045,71.33,57,100,10.04
43,Okhotsk,RU,2022-07-16 19:21:34,59.3833,143.3,56.55,92,87,2.66
44,Lebu,CL,2022-07-16 19:21:35,-37.6167,-73.65,49.08,71,100,14.18
45,Ushuaia,AR,2022-07-16 19:17:24,-54.8,-68.3,40.66,65,20,9.22
46,Saskylakh,RU,2022-07-16 19:21:35,71.9167,114.0833,49.1,74,41,7.45
47,Bathsheba,BB,2022-07-16 19:21:35,13.2167,-59.5167,79.05,96,75,20.71
